DATE,USD_INR,USD_EUR,INR_EUR,INR_GBP,USD_GBP,INR_AED,
04/01/16,66.56,1.0803,61.61251504,46.86003943,1.4204,18.12389381,
05/01/16,66.49,1.0743,61.89146421,46.86003943,1.4204,18.10483322,
06/01/16,66.71,1.0762,61.98661959,46.34248003,1.4395,18.16473792,
07/01/16,66.73,1.086,61.44567219,50.24471049,1.3281,18.1701838,
08/01/16,66.82,1.0885,61.38723013,50.58672117,1.3209,18.19469027,
11/01/16,66.78,1.0878,61.38996139,54.65706335,1.2218,18.1837985,
12/01/16,66.85,1.0837,61.68681369,53.07240394,1.2596,18.20285909,
13/01/16,66.74,1.0862,61.44356472,53.07240394,1.2596,18.17290674,
14/01/16,67.37,1.0862,62.0235684,53.07240394,1.2596,18.34445201,
15/01/16,67.74,1.0964,61.78402043,53.07240394,1.2596,18.44520082,
18/01/16,67.74,1.0964,61.78402043,53.07240394,1.2596,18.44520082,
19/01/16,67.68,1.0906,62.05758298,53.07240394,1.2596,18.42886317,
20/01/16,68.05,1.0908,62.38540521,53.07240394,1.2596,18.52961198,
21/01/16,67.87,1.0833,62.6511585,53.07240394,1.2596,18.48059905,
22/01/16,67.55,1.0814,62.46532273,53.07240394,1.2596,18.39346494,
25/01/16,67.71,1.0832,62.50923191,53.07240394,1.2596,18.43703199,
26/01/16,67.75,1.0846,62.46542504,53.07240394,1.2596,18.44792376,
27/01/16,67.98,1.0867,62.5563633,53.07240394,1.2596,18.5105514,
28/01/16,68.08,1.0952,62.16216216,53.07240394,1.2596,18.5377808,
29/01/16,67.87,1.0832,62.65694239,53.07240394,1.2596,18.48059905,
01/02/16,67.92,1.0888,62.3806025,53.07240394,1.2596,18.49421375,
02/02/16,67.92,1.0908,62.26622662,47.16994236,1.4399,18.49421375,
03/02/16,67.92,1.1051,61.46050131,48.31069066,1.4059,18.49421375,
04/02/16,67.57,1.1199,60.33574426,48.31069066,1.4059,18.39891082,
05/02/16,67.78,1.1131,60.89300153,46.21573708,1.4666,18.45609258,
08/02/16,67.98,1.117,60.85944494,51.01305718,1.3326,18.5105514,
09/02/16,67.92,1.13,60.10619469,51.07150914,1.3299,18.49421375,
10/02/16,67.85,1.1222,60.4615933,51.07150914,1.3299,18.47515317,
11/02/16,68.44,1.1362,60.23587397,55.57450264,1.2315,18.63580667,
12/02/16,68.12,1.1235,60.63195372,53.70122192,1.2685,18.54867257,
15/02/16,68.12,1.1235,60.63195372,53.70122192,1.2685,18.54867257,
16/02/16,68.48,1.114,61.47217235,53.70122192,1.2685,18.64669843,
17/02/16,68.33,1.114,61.33752244,53.70122192,1.2685,18.60585432,
18/02/16,68.54,1.1092,61.79228273,53.70122192,1.2685,18.66303608,
19/02/16,68.54,1.1127,61.59791498,53.70122192,1.2685,18.66303608,
22/02/16,68.53,1.1018,62.19822109,53.70122192,1.2685,18.66031314,
