date,settlement_corridor,fx_corridor,fx_corridor,settlement_risk,p50_delay_min,extreme_delay_min,fx_risk,fx_slippage_bps,fx_regime_num
2016-01-28,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,10.18,3.0538051381483275,0
2016-01-29,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.55,2.8647600581677173,0
2016-02-02,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,9.06,2.71934076587494,0
2016-02-03,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,8.43,2.5302956858943286,0
2016-02-05,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,8.77,2.632089190499273,0
2016-02-06,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.88,3.562772661173049,0
2016-02-08,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.15,4.246243334949103,0
2016-02-09,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.54,4.362578768783325,0
2016-02-11,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.67,4.100824042656326,0
2016-02-12,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.85,3.853611245758604,0
2016-02-15,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.76,5.627726611730489,0
2016-02-16,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,18.18,5.453223460979157,0
2016-02-17,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.84,5.351429956374212,0
2016-02-18,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,17.01,5.104217159476491,0
2016-02-19,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,16.53,4.958797867183713,0
2016-02-22,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,15.41,4.624333494910325,0
2016-02-23,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.4,4.318952981095492,0
2016-02-24,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.48,4.042656325739214,0
2016-02-25,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.6,3.780901599612215,0
2016-02-26,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.12,3.635482307319438,0
2016-02-29,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.25,3.3737275811924383,0
2016-03-02,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.97,3.5918565196316043,0
2016-03-03,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.49,3.446437227338827,0
2016-03-05,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.89,3.8681531749878815,0
2016-03-06,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.91,4.173533688802714,0
2016-03-08,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,14.01,4.20261754726127,0
2016-03-10,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,13.04,3.911778962675715,0
2016-03-11,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.65,3.795443528841493,0
2016-03-14,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,11.83,3.548230731943771,0
2016-03-15,AREIND,INR_AED,INR_AED,25.0,60.0,2880.0,12.02,3.606398448860882,0
