date,settlement_corridor,fx_corridor,fx_corridor.1,settlement_risk,p50_delay_min,extreme_delay_min,fx_risk,fx_slippage_bps,fx_regime_num,friction_cluster,friction_regime_ml,regime_confidence,friction_type_ml
28-01-2016,AREIND,INR_AED,INR_AED,25,60,2880,10.18,3.053805138,0,0,2,0.999585314,BANK_ROUTING
29-01-2016,AREIND,INR_AED,INR_AED,25,60,2880,9.55,2.864760058,0,0,2,0.999633398,BANK_ROUTING
02-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,9.06,2.719340766,0,0,2,0.999666915,BANK_ROUTING
03-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,8.43,2.530295686,0,0,2,0.999705553,BANK_ROUTING
05-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,8.77,2.63208919,0,0,2,0.999685292,BANK_ROUTING
06-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,11.88,3.562772661,0,0,2,0.999421795,BANK_ROUTING
08-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,14.15,4.246243335,0,0,2,0.999099095,BANK_ROUTING
09-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,14.54,4.362578769,0,0,2,0.999027819,BANK_ROUTING
11-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,13.67,4.100824043,0,0,2,0.999179704,BANK_ROUTING
12-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,12.85,3.853611246,0,0,2,0.999301115,BANK_ROUTING
15-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,18.76,5.627726612,0,0,2,0.997786441,BANK_ROUTING
16-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,18.18,5.453223461,0,0,2,0.998022871,BANK_ROUTING
17-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,17.84,5.351429956,0,0,2,0.998149587,BANK_ROUTING
18-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,17.01,5.104217159,0,0,2,0.998425955,BANK_ROUTING
19-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,16.53,4.958797867,0,0,2,0.998566583,BANK_ROUTING
22-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,15.41,4.624333495,0,0,2,0.998847899,BANK_ROUTING
23-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,14.4,4.318952981,0,0,2,0.99905403,BANK_ROUTING
24-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,13.48,4.042656326,0,0,2,0.999209587,BANK_ROUTING
25-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,12.6,3.7809016,0,0,2,0.999334433,BANK_ROUTING
26-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,12.12,3.635482307,0,0,2,0.999394026,BANK_ROUTING
29-02-2016,AREIND,INR_AED,INR_AED,25,60,2880,11.25,3.373727581,0,0,2,0.999488796,BANK_ROUTING
02-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,11.97,3.59185652,0,0,2,0.999411534,BANK_ROUTING
03-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,11.49,3.446437227,0,0,2,0.999464238,BANK_ROUTING
05-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,12.89,3.868153175,0,0,2,0.999295632,BANK_ROUTING
06-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,13.91,4.173533689,0,0,2,0.999140342,BANK_ROUTING
08-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,14.01,4.202617547,0,0,2,0.99912339,BANK_ROUTING
10-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,13.04,3.911778963,0,0,2,0.999274685,BANK_ROUTING
11-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,12.65,3.795443529,0,0,2,0.999327899,BANK_ROUTING
14-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,11.83,3.548230732,0,0,2,0.999427419,BANK_ROUTING
15-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,12.02,3.606398449,0,0,2,0.999405755,BANK_ROUTING
16-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,11.2,3.359185652,0,0,2,0.999493769,BANK_ROUTING
17-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,10.71,3.21376636,0,0,2,0.999540022,BANK_ROUTING
18-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,11.34,3.40281144,0,0,2,0.999479721,BANK_ROUTING
21-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,10.91,3.271934077,0,0,2,0.999521676,BANK_ROUTING
22-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,10.37,3.111972855,0,0,2,0.999569613,BANK_ROUTING
23-03-2016,AREIND,INR_AED,INR_AED,25,60,2880,9.84,2.952011634,0,0,2,0.999611998,BANK_ROUTING
